elbow_angle_left,elbow_angle_right,shoulder_angle_left,shoulder_angle_right,head_pitch,head_yaw,mouth_open_ratio,wrist_face_distance,shoulder_distance,phone_detected,label,behavior
83.7718,75.5104,18.891,20.5673,8.1666,-33.3143,0.0894,0.5014,0.3258,0,1,Distracted
76.5449,96.2752,27.0485,24.3247,34.9527,-3.0041,0.0203,0.5015,0.3101,0,2,Looking Down
68.2004,56.615,35.409,20.7618,16.4773,-4.3696,0.0671,0.1227,0.31,1,4,Using Phone
84.0971,77.6804,27.8337,26.8248,-1.8043,-54.8223,0.0706,0.7275,0.3324,0,1,Distracted
106.7834,94.1164,16.6266,30.7879,7.8613,25.7741,0.0963,0.6072,0.4429,0,1,Distracted
103.9001,76.332,2,31.5173,16.6139,19.5076,0.1438,0.6971,0.3457,0,3,Talking
68.4238,67.2724,16.9878,25.5156,15.1437,24.7072,0.0031,0.6843,0.3777,0,1,Distracted
76.3685,100.2679,24.7384,22.1856,15.8081,15,0.0068,0.3822,0.305,0,1,Distracted
68.7423,90.0328,17.6624,25.7459,10.8612,24.9167,0.1,0.6937,0.3782,0,3,Talking
93.7794,89.9591,4.7246,18.2141,-3.6009,25.5136,0.1797,0.6071,0.4049,0,3,Talking
82.8268,98.3876,16.7023,3.5021,9.9784,4.8684,0.0156,0.7155,0.4115,0,0,Attentive
87.0674,104.1179,24.9836,25.1323,23.7037,-7.8261,0.0248,0.4192,0.3894,0,2,Looking Down
81.9759,86.8516,13.2324,8.9217,-0.2378,5.2884,0.0716,0.5767,0.4042,0,0,Attentive
78.1599,74.8943,16.2751,19.0251,-0.8277,-28.8343,0.1261,0.614,0.3898,0,1,Distracted
84.1947,51.4665,29.1614,24.9073,26.5285,6.1321,0.0255,0.2284,0.406,1,4,Using Phone
88.77,87.0893,11.0144,36.3652,34.2427,2.4359,0.0083,0.4499,0.3253,0,2,Looking Down
75.0368,92.5608,18.9977,9.6057,12.1238,-15.4832,0.3118,0.5686,0.2689,0,3,Talking
58.6455,72.4461,15.8752,18.801,4.0829,-28.1712,0.054,0.4736,0.3643,0,1,Distracted
68.2341,70.3714,12.9594,33.1346,27.0186,14.4556,0.0256,0.1736,0.3489,1,4,Using Phone
100.2095,84.5147,6.458,2.4314,-5.8188,-9.5048,0.058,0.6907,0.2868,0,0,Attentive
72.7101,53.7814,15.4227,38.3839,17.0309,2.4563,0.0943,0.2807,0.391,1,4,Using Phone
54.1961,67.5618,26.7784,9.4748,-10,-31.8542,0.0697,0.491,0.2907,0,1,Distracted
60.7594,44.2446,23.9134,26.0562,4.5408,15,0.0317,0.5737,0.2602,0,1,Distracted
72.8812,81.4279,14.282,11.0705,-2.4744,1.0391,0.0616,0.5793,0.3561,0,0,Attentive
83.247,83.4641,2,19.1534,4.5711,16.4474,0.2967,0.5093,0.3261,0,3,Talking
97.0274,82.359,8.9417,6.8613,3.2718,8.5112,0,0.7522,0.3635,0,0,Attentive
81.7365,79.0348,4.4475,21.943,1.9517,-8.0293,0.1704,0.5506,0.3517,0,3,Talking
93.4055,70.139,22.7315,27.4418,7.4592,-15.1047,0.0711,0.7195,0.3102,0,1,Distracted
103.4237,50.5198,10.7604,7.5437,2.8012,24.4449,0.0646,0.6062,0.2936,0,1,Distracted
114.8437,72.0477,13.0084,2,1.1944,23.1417,0.2632,0.6262,0.3856,0,3,Talking
97.3948,74.1372,26.6027,23.6853,6.6763,15,0.0694,0.7035,0.2982,0,1,Distracted
89.1548,97.2619,9.4562,12.0086,9.1409,-2.4073,0.0567,0.651,0.3539,0,0,Attentive
94.0791,101.3434,22.7313,14.1099,6.8513,14.9352,0.1646,0.5984,0.3469,0,3,Talking
84.3995,67.497,16.6412,35.0939,3.5336,-24.7625,0.0407,0.7099,0.438,0,1,Distracted
112.4807,87.7736,18.1778,12.4799,26.9111,8.1218,0.0432,0.6085,0.3377,0,2,Looking Down
103.9437,93.1142,26.2652,15.449,41.269,-1.006,0.0601,0.4597,0.3049,0,2,Looking Down
87.9479,101.5219,17.0693,21.4141,30.1788,-7.8933,0.0588,0.3961,0.2905,0,2,Looking Down
68.4929,79.9517,11.4879,19.0746,9.0342,31.2574,0.1135,0.5918,0.3553,0,1,Distracted
73.6795,91.8391,14.2274,13.6308,11.4543,-22.393,0.1882,0.586,0.3299,0,3,Talking
67.9822,84.2072,6.9859,12.1613,7.8203,-4.2458,0.0286,0.6411,0.3141,0,0,Attentive
88.9135,90.0778,15.5485,12.0491,3.5525,4.0354,0.107,0.6394,0.311,0,0,Attentive
85.8155,109.9689,18.4524,8.2216,4.4898,24.0199,0.1847,0.7071,0.3653,0,3,Talking
90.3685,89.3651,16.6217,15.5064,-4.6393,-8,0.1,0.6854,0.3831,0,3,Talking
108.3936,77.4999,29.4399,28.4177,30.7795,-1.8155,0.052,0.5831,0.2595,0,2,Looking Down
86.9367,88.0384,11.326,8.35,-0.3165,-11.8228,0.2592,0.5343,0.4033,0,3,Talking
77.054,77.0208,26.1058,37.2638,28.9759,5.1434,0.0323,0.1672,0.3621,1,4,Using Phone
106.2019,125.8762,16.9544,16.9921,25.5113,-3.9153,0,0.4324,0.2962,0,2,Looking Down
119.1337,48.7917,18.757,8.9956,-10,28.5695,0.0656,0.5715,0.3347,0,1,Distracted
109.1497,105.8067,11.7161,11.4779,-3.0816,-12.9632,0.146,0.6543,0.2918,0,3,Talking
94.7886,93.7718,6.8716,3.4038,3.7821,-4.8002,0.0481,0.749,0.3317,0,0,Attentive
61.7574,57.6876,24.1313,33.2539,10.4249,21.6291,0.0448,0.1759,0.276,1,4,Using Phone
79.8307,91.5072,24.3067,10.874,-2.1687,18.7799,0.2064,0.6719,0.3319,0,3,Talking
109.3843,89.0606,19.8407,18.017,26.5735,-0.0837,0.006,0.4823,0.2582,0,2,Looking Down
111.3674,73.6244,10.8978,29.9811,2.7056,34.1142,0.0483,0.594,0.3647,0,1,Distracted
89.9828,76.459,9.2881,10.6015,8.0866,4.2697,0.0163,0.5273,0.4011,0,0,Attentive
62.9003,51.7428,29.2608,20.6223,36.3183,12.3695,0.0548,0.1978,0.4036,1,4,Using Phone
84.0601,87.399,25.302,16.2439,-1.768,-12.3094,0.2557,0.7239,0.3613,0,3,Talking
99.928,88.7902,11.7455,13.7354,-7.4758,-16.5421,0.2613,0.6472,0.4108,0,3,Talking
114.0971,125.3921,8.5505,5,28.0386,-12.1473,0.0414,0.4599,0.3898,0,2,Looking Down
73.7713,68.9507,18.6762,29.2817,3.5318,15,0.0623,0.6113,0.3493,0,1,Distracted
90.5906,88.3678,12.4601,7.3698,-7.9201,6.5829,0.0356,0.581,0.3777,0,0,Attentive
77.36,78.2129,12.551,19.5471,0.9437,26.6274,0.1601,0.5198,0.4271,0,3,Talking
83.5664,121.1779,13.8058,18.2107,32.6449,-4.5228,0.0443,0.446,0.3684,0,2,Looking Down
75.0343,85.4395,6.4521,3.7075,3.6979,-1.8509,0.1228,0.6846,0.2949,0,0,Attentive
60.6395,62.7439,42.9249,18.4993,15.3802,1.6486,0.0668,0.2286,0.3835,1,4,Using Phone
78.9186,105.7054,4.8727,12.6566,-1.1767,8.7237,0.2032,0.5509,0.3505,0,3,Talking
75.6848,62.7626,26.3116,28.2837,17.3055,0.3689,0.1228,0.1883,0.3649,1,4,Using Phone
95.1986,93.002,31.2452,21.6059,18,-5.3883,0.0143,0.3563,0.3525,0,2,Looking Down
96.3792,111.1968,20.5083,25.626,18,-20,0.0485,0.286,0.3215,0,2,Looking Down
101.4127,75.9013,21.1065,31.996,-5.6622,-20.8067,0.0291,0.6379,0.4015,0,1,Distracted
104.0072,79.4355,17.2999,13.4181,-4.7301,-9.4359,0.1639,0.7069,0.3441,0,3,Talking
92.4255,76.5429,19.1947,10.7115,11.4252,-27.8755,0.0893,0.4107,0.3556,0,1,Distracted
109.498,97.9383,18.8269,38.7929,37.5991,-7.3746,0.043,0.3732,0.3246,0,2,Looking Down
101.3872,99.6428,22.5727,20.9321,33.0376,-2.4917,0.0418,0.3018,0.3172,0,2,Looking Down
71.4603,97.2364,9.21,7.8656,-1.0726,-9.9291,0.0747,0.6559,0.2984,0,0,Attentive
80.1313,80.7682,4.7172,16.1154,3.4469,2.115,0.0329,0.5044,0.3608,0,0,Attentive
84.7759,92.1721,2,14.6021,-7.077,8.3336,0.2088,0.7221,0.3648,0,3,Talking
77.7358,73.7016,17.3282,8.8711,5.4052,-8.5485,0.0337,0.6589,0.304,0,0,Attentive
71.8679,73.0789,30.6722,35.8311,21.2388,26.8079,0,0.2452,0.3081,1,4,Using Phone
92.2418,86.5613,37.0537,28.6179,14.2787,18.9284,0.019,0.6062,0.3454,0,1,Distracted
92.8858,94.4991,22.9478,12.8982,6.9548,1.1663,0.0394,0.6771,0.3382,0,0,Attentive
59.5523,87.1604,26.6084,35.3284,37.2141,0.9391,0.0883,0.1355,0.2981,1,4,Using Phone
87.8483,76.7748,15.6067,30.6435,29.0353,-10.721,0.0254,0.281,0.285,0,2,Looking Down
85.8177,113.8866,15.2562,27.6998,-4.0223,-8,0.1528,0.7151,0.4202,0,3,Talking
87.1998,85.936,20.8093,24.7333,2.8295,-15,0.0151,0.6709,0.341,0,1,Distracted
77.3929,89.717,18.5447,19.6948,-10,-8,0.2017,0.6658,0.3696,0,3,Talking
63.9326,70.9619,33.3092,9.0625,19.6958,21.0645,0.0346,0.3128,0.3966,1,4,Using Phone
92.9942,91.4127,21.832,15.1095,22.4285,27.332,0.0541,0.6964,0.3525,0,1,Distracted
86.8849,91.1669,2.6071,15.7188,7.031,-2.4917,0.069,0.8317,0.3573,0,0,Attentive
87.4742,70.1098,21.1229,20.7688,2.4369,-15,0.0224,0.6477,0.4258,0,1,Distracted
81.3231,73.8376,17.5326,28.6112,-3.5283,-24.3815,0.1365,0.7164,0.4075,0,1,Distracted
101.4579,74.2034,13.5921,23.3441,12.5617,-31.01,0.0249,0.6742,0.3081,0,1,Distracted
87.0558,79.5255,19.4043,7.2497,-2.1225,-24.2311,0.0815,0.3804,0.3319,0,1,Distracted
95.5547,77.3761,9.5915,2,4.0197,-16.7128,0.1487,0.6355,0.3911,0,3,Talking
94.0015,106.5164,18.1288,18.4313,33.2775,-4.7759,0.0848,0.3872,0.3547,0,2,Looking Down
90.3031,94.3878,10.9051,3.5158,7.3981,-3.9081,0.0341,0.6969,0.3995,0,0,Attentive
70.4735,57.2869,21.0588,38.4718,12.9093,14.6963,0.0618,0.2185,0.3608,1,4,Using Phone
92.6987,87.5675,17.184,15.2605,11.007,-32.8532,0.0989,0.5987,0.31,0,1,Distracted
105.4998,91.4223,34.3562,32.3587,34.8328,10.8881,0.0419,0.4612,0.3891,0,2,Looking Down
88.9737,83.8939,13.2384,17.6151,3.5951,-1.4048,0.0974,0.7114,0.3312,0,0,Attentive
108.0136,85.1473,11.6882,2.8429,5.0308,-19.1911,0.1291,0.6563,0.3301,0,3,Talking
93.248,92.4502,5.8039,8.4539,6.9876,5.8533,0.0356,0.6351,0.3057,0,0,Attentive
73.2893,78.8799,19.7019,28.263,1.551,-29.8966,0.082,0.6445,0.2987,0,1,Distracted
97.7553,101.1455,11.7631,21.8155,18,8.3756,0.0414,0.3583,0.2966,0,2,Looking Down
72.9987,80.2489,10.8372,30.5028,23.7026,15,0.0814,0.5273,0.392,0,1,Distracted
87.8569,96.8232,7.4086,5.9575,1.9895,5.4924,0.0599,0.6076,0.3705,0,0,Attentive
76.2028,75.8729,13.2194,20.1579,3.8883,12.8548,0.2357,0.5935,0.3852,0,3,Talking
72.0966,104.1532,23.2961,21.2881,-1.1626,-20.7396,0.1434,0.6929,0.347,0,3,Talking
96.6466,90.6361,13.9453,10.4191,13.4628,2.4586,0.0242,0.7623,0.3779,0,0,Attentive
66.1002,66.2205,22.1684,30.78,19.4667,21.1514,0.0254,0.2302,0.309,1,4,Using Phone
90.9951,74.0556,23.6671,11.1618,37.9089,-3.0491,0.0581,0.5121,0.2816,0,2,Looking Down
106.7795,75.1957,16.566,21.12,15.3365,16.0099,0.1126,0.621,0.332,0,1,Distracted
75.0659,87.6734,9.2237,0.461,-0.1623,-2.4816,0.1066,0.6945,0.2966,0,0,Attentive
105.4469,89.3714,15.0013,11.1897,35.8572,8.0584,0.0407,0.3308,0.3936,0,2,Looking Down
75.3582,104.3291,20.5783,24.4466,28.1878,-3.4434,0.1003,0.2822,0.3594,0,2,Looking Down
100.8804,98.4349,9.3319,6.2414,1.2949,-30.5423,0.2587,0.6763,0.3856,0,3,Talking
100.1107,92.9597,13.9907,12.0114,18.8641,-7.0377,0.0348,0.4082,0.3191,0,2,Looking Down
91.7577,77.3116,15.3894,27.7176,11.0861,25.2701,0.2677,0.676,0.3964,0,3,Talking
100.161,99.8406,12.3645,24.0553,29.6784,-4.0159,0.0732,0.3,0.3131,0,2,Looking Down
101.418,74.4386,13.4226,15.9643,0.3517,18.8061,0.2087,0.5081,0.3573,0,3,Talking
85.4132,91.218,16.9132,6.5697,15.3395,14.2332,0.2594,0.6815,0.3444,0,3,Talking
73.6877,92.0132,28.3225,36.372,29.9898,2.7184,0.0443,0.2221,0.3442,1,4,Using Phone
100.9558,60,29.8947,15.677,23.5881,-3.1876,0.0266,0.449,0.2676,0,2,Looking Down
96.4397,77.5858,26.0074,29.0531,18.7931,20.3971,0.038,0.1024,0.3243,1,4,Using Phone
114.1464,115.7339,26.9126,22.4491,28.1515,-9.535,0.0983,0.3392,0.3565,0,2,Looking Down
101.4699,101.0483,14.1535,21.9623,20.06,-7.5593,0.0594,0.3187,0.3515,0,2,Looking Down
103.525,69.1708,11.2894,15.6783,-2.4489,14.6224,0.2069,0.6013,0.4242,0,3,Talking
84.4986,92.6411,5.0714,12.5202,1.8185,-4.7572,0.0468,0.5672,0.3279,0,0,Attentive
70.1505,94.5013,33.3135,16.1915,26.0751,-2.2621,0.0064,0.2636,0.3721,0,2,Looking Down
68.1742,79.5294,13.6207,36.9488,5.2785,15.3736,0.0141,0.709,0.3114,0,1,Distracted
75.8562,70.2496,27.4812,26.0914,12.9924,0.059,0.0476,0.2248,0.3405,1,4,Using Phone
102.4974,65.5463,24.914,5,-0.7599,-15,0.0099,0.5785,0.3593,0,1,Distracted
97.7768,84.3324,15.3471,17.8552,-7.5467,22.5647,0.1326,0.7832,0.3338,0,3,Talking
77.784,97.5126,28.8224,18.2674,-0.0294,-15,0.0007,0.4661,0.3468,0,1,Distracted
70.0576,88.0968,14.946,7.1485,-5.7073,-17.2996,0.206,0.5866,0.3467,0,3,Talking
109.4595,110.9689,12.1036,32.927,22.2809,1.7026,0.0397,0.3861,0.3835,0,2,Looking Down
111.9206,97.0188,20.4837,10.9375,14.684,20.1416,0.2712,0.6116,0.3393,0,3,Talking
95.7608,97.2941,22.3641,15.5296,27.5034,-2.7025,0.0212,0.4983,0.3484,0,2,Looking Down
96.5955,114.2857,28.1757,21.6897,27.2838,7.6875,0.0594,0.3452,0.2769,0,2,Looking Down
75.6365,66.16,14.3309,28.8536,18.419,15.3379,0.1031,0.383,0.2803,0,1,Distracted
52.4235,83.5955,29.0805,31.3432,32.3234,3.3983,0.0392,0.1063,0.4656,1,4,Using Phone
91.7374,80.8441,5,12.4163,12.0966,-28.4413,0.0541,0.6565,0.4218,0,1,Distracted
76.1083,86.972,12.4911,15.7007,14.4832,-6.0906,0.0257,0.5494,0.3406,0,0,Attentive
101.5002,76.4597,10.1211,17.0611,4.5222,2.7142,0.0181,0.6843,0.3425,0,0,Attentive
91.4156,74.8326,30.0018,34.3158,14.2827,8.6793,0.1228,0.2153,0.3847,1,4,Using Phone
112.6181,103.6794,23.0722,12.8532,4.3779,8,0.2499,0.642,0.3509,0,3,Talking
93.7116,85.5142,4.6113,6.4235,9.0776,-4.3822,0.0565,0.6536,0.3239,0,0,Attentive
102.4899,105.3481,23.3881,7.1624,21.007,0.8203,0,0.4665,0.3649,0,2,Looking Down
115.2628,103.3358,13.2202,20.3564,19.0711,8.4637,0.0425,0.2585,0.318,0,2,Looking Down
76.953,106.1955,4.0083,23.626,3.2335,-14.0843,0.23,0.6787,0.4047,0,3,Talking
81.1079,104.8923,24.648,5,36.388,7.0128,0.0306,0.5002,0.3755,0,2,Looking Down
90.4613,75.1317,21.2323,19.3384,39.0895,2.8724,0.08,0.3442,0.3755,0,2,Looking Down
112.1382,82.3717,16.1674,12.9037,-1.5745,-40.6311,0.0655,0.5449,0.3655,0,1,Distracted
117.8157,87.6838,32.7155,22.2713,29.9435,-3.1804,0,0.479,0.299,0,2,Looking Down
136.4745,71.1274,22.081,16.8051,7.3619,22.1412,0.0436,0.7819,0.3989,0,1,Distracted
84.8328,63.7588,20.7021,17.6393,19.534,-15,0.1214,0.5889,0.355,0,1,Distracted
88.4776,79.9914,17.5209,17.9222,3.4869,19.4297,0.2096,0.6997,0.3794,0,3,Talking
82.6538,104.343,13.6205,28.5962,31.8022,4.8541,0.0823,0.3752,0.307,0,2,Looking Down
83.1525,90.5697,19.2448,15.6328,3.3867,-6.6392,0.1272,0.6547,0.3506,0,0,Attentive
98.3238,93.115,0.7956,3.6021,1.2511,0.1565,0.0655,0.5919,0.3575,0,0,Attentive
80.7276,88.4777,11.3933,36.7712,20.4669,28.081,0.0595,0.7031,0.3947,0,1,Distracted
68.0925,92.8689,23.4011,8.2717,26.6864,-24.2351,0.0249,0.4593,0.329,0,1,Distracted
90.6416,67.1116,12.2065,17.9538,-1.9484,-22.6944,0.2039,0.7128,0.4045,0,3,Talking
83.6955,79.0408,6.6241,9.2774,0.2455,-1.8478,0,0.6671,0.35,0,0,Attentive
50,82.8483,8.2374,5.8613,-10,-34.7678,0.0651,0.5774,0.4095,0,1,Distracted
77.9879,79.7073,15.8285,9.3765,2.7712,16.3157,0.2105,0.5627,0.3244,0,3,Talking
86.5916,88.4939,12.0215,16.1789,-1.4263,4.0813,0.0858,0.5077,0.3628,0,0,Attentive
93.8472,80.4884,5.9189,10.3907,10.1698,0.8344,0.0027,0.5858,0.347,0,0,Attentive
124.6249,79.5285,14.9833,19.6727,28.8282,8.0513,0.0083,0.4209,0.3069,0,2,Looking Down
69.1467,77.3664,9.2211,10.1846,-0.915,39.3028,0.098,0.6243,0.2634,0,1,Distracted
66.1353,75.653,25.6532,28.1564,21.8599,-2.833,0.0509,0.2238,0.3497,1,4,Using Phone
57.7152,82.2061,17.0731,20.1467,29.0985,10.2779,0,0.3248,0.3188,1,4,Using Phone
80.2593,76.4136,27.6147,31.9229,22.7149,17.8766,0.0684,0.1984,0.3758,1,4,Using Phone
102.4167,97.6821,5,20.2095,30.5703,5.1117,0.0187,0.3652,0.2709,0,2,Looking Down
85.3074,89.2867,33.8723,23.0737,30.8621,-1.9991,0.0488,0.4224,0.3417,0,2,Looking Down
99.2961,46.3302,18.7438,18.252,-1.0701,41.2102,0.0339,0.5194,0.3438,0,1,Distracted
100.0579,69.9366,17.8108,12.5357,-2.9771,-20.7972,0.2321,0.7888,0.325,0,3,Talking
89.3113,76.702,9.0483,5.6219,-3.2968,5.5571,0.1073,0.5381,0.3725,0,0,Attentive
128.2351,82.9654,19.191,31.4525,23.7492,35.449,0.098,0.6131,0.3329,0,1,Distracted
81.2998,57.6538,24.8006,25.3414,5.8596,-29.6485,0.0729,0.7284,0.4047,0,1,Distracted
80.0332,83.6548,7.6395,0.1035,9.4875,-6.4365,0.0572,0.8159,0.3132,0,0,Attentive
77.9058,67.2534,28.3994,38.4132,30.05,28.7224,0.0303,0.3206,0.3084,1,4,Using Phone
53.9798,68.975,40.534,33.8334,17.8928,11.6491,0.0499,0.1751,0.337,1,4,Using Phone
84.147,83.3391,16.559,25.0066,1.1814,-19.3635,0.2636,0.6643,0.3254,0,3,Talking
94.2688,78.4345,14.8169,12.0639,9.9324,11.3808,0.0426,0.5897,0.3144,0,0,Attentive
102.946,96.9378,6.363,19.3349,36.5874,7.5651,0.0551,0.3567,0.2509,0,2,Looking Down
78.3136,78.0485,14.3389,23.4855,17.073,32.2673,0.0803,0.557,0.2658,0,1,Distracted
113.9017,114.6855,27.5944,24.192,30.7419,-3.9762,0.0114,0.429,0.2831,0,2,Looking Down
102.6716,74.9166,27.4281,11.0128,9.1592,-47.4258,0.0768,0.6277,0.3404,0,1,Distracted
83.4339,77.7298,21.5159,21.2135,-9.43,-28.9777,0.0746,0.532,0.2758,0,1,Distracted
102.4993,82.2961,9.3809,28.598,0.2917,-19.2282,0.2471,0.5291,0.3994,0,3,Talking
75.6506,94.1426,13.7597,13.9552,-0.4563,8.4168,0.0079,0.6969,0.4376,0,0,Attentive
65.0458,109.3275,18.3869,14.7037,8.441,8,0.1801,0.6103,0.4046,0,3,Talking
81.4453,57.3134,18.2712,12.4767,12.4078,-23.9071,0.0529,0.6656,0.3882,0,1,Distracted
93.8106,88.7324,16.7311,12.6113,4.4125,13.6346,0.0767,0.6959,0.2989,0,0,Attentive
82.8668,81.566,12.9428,2.0094,7.773,12.1459,0.0091,0.6652,0.3235,0,0,Attentive
101.6991,105.7031,29.3653,6.7582,34.6762,-2.1451,0.045,0.4848,0.2822,0,2,Looking Down
101.4882,50.7617,20.3972,29.4595,1.6792,-33.4084,0.1726,0.5896,0.3597,0,1,Distracted
78.9146,84.785,29.4184,18.6445,11.0519,-15,0.0864,0.5196,0.3554,0,1,Distracted
115.9962,103.5511,15.088,21.0718,-6.8208,38.187,0.1846,0.6104,0.2758,0,3,Talking
90.0053,78.1427,4.6455,12.4124,3.6592,4.284,0.0642,0.6442,0.3161,0,0,Attentive
97.9982,99.856,12.1758,8.0221,35.8121,5.5496,0.0875,0.3368,0.3577,0,2,Looking Down
93.6231,97.683,28.4026,15.112,36.3707,-0.013,0.0347,0.4199,0.3144,0,2,Looking Down
70.7458,68.2082,8,21.4812,36.3155,10.1032,0.0408,0.221,0.3542,1,4,Using Phone
109.4584,78.6325,32.0219,26.2098,26.1285,9.8974,0.0324,0.3634,0.349,0,2,Looking Down
93.3383,87.5409,24.4267,17.6119,-5.872,8,0.1768,0.57,0.3877,0,3,Talking
79.3582,90.8925,19.2274,25.5845,2.0766,13.6846,0.2304,0.7227,0.3432,0,3,Talking
78.6402,65.1081,18.4091,22.1879,15.8468,2.528,0.0016,0.2242,0.3173,1,4,Using Phone
94.9819,79.6121,11.395,5.8233,17.8709,-7.1256,0.0593,0.7007,0.3666,0,0,Attentive
85.597,111.8666,10.8746,16.6395,4.4717,-9.0243,0.2028,0.6329,0.3327,0,3,Talking
88.1567,72.9305,23.4481,21.3916,25.0546,-12.9534,0.0589,0.3787,0.3523,0,2,Looking Down
107.1773,90.6006,5.0822,17.5562,4.4694,-13.1736,0.2544,0.4866,0.3896,0,3,Talking
55.8598,56.8479,18.5757,38.2361,19.977,-9.5337,0.0863,0.2016,0.266,1,4,Using Phone
77.0757,80.4696,10.4983,7.4826,-4.304,0.4114,0.0181,0.6879,0.3132,0,0,Attentive
94.1901,71.0823,8.1878,4.4017,-2.7681,6.965,0.036,0.6777,0.3481,0,0,Attentive
110.2598,100.2391,18.7429,22.207,0.7736,-13.9339,0.1751,0.61,0.3331,0,3,Talking
76.9519,75.2865,15.7906,13.9583,8.7447,3.7701,0.0496,0.5782,0.353,0,0,Attentive
91.8222,88.8779,5.7682,6.7823,11.1798,-2.0087,0.0379,0.5736,0.3669,0,0,Attentive
113.0172,91.8356,14.3219,26.3471,5.0252,-39.7599,0.0993,0.46,0.3694,0,1,Distracted
76.1191,48.6684,12.4388,25.7852,-0.6233,22.1463,0.0787,0.6521,0.286,0,1,Distracted
107.7327,91.8581,17.556,15.221,30.8833,9.5774,0.0169,0.4801,0.2987,0,2,Looking Down
78.8642,73.26,33.1831,21.0895,13.6818,25.4627,0.0407,0.5753,0.3316,0,1,Distracted
102.8031,125.4016,13.3104,17.8734,38.6183,-0.1429,0.03,0.4453,0.3409,0,2,Looking Down
77.4858,107.7615,22.5641,17.3548,0.1089,-23.8847,0.0504,0.7117,0.3493,0,1,Distracted
83.6555,91.7938,19.9267,20.4863,45.4103,0.6502,0.0754,0.3652,0.3175,0,2,Looking Down
95.753,96.4151,20.0615,13.9233,4.913,9.3186,0.2961,0.3974,0.3465,0,3,Talking
92.7726,90.163,16.8432,5.1754,9.1163,6.3505,0,0.5553,0.2684,0,0,Attentive
89.28,96.9647,5.7515,36.6761,3.1714,19.1359,0.2954,0.6932,0.3515,0,3,Talking
87.6219,61.2297,18.739,9.483,6.1474,35.4583,0.01,0.4467,0.419,0,1,Distracted
88.9944,93.68,14.7914,18.6721,0.9836,-20.1504,0.1294,0.565,0.3229,0,3,Talking
76.8301,90.6669,11.219,7.1796,-2.6818,5.2347,0.0695,0.6421,0.4239,0,0,Attentive
77.8432,108.9292,13.5036,7.9769,0.8452,8,0.306,0.5643,0.3712,0,3,Talking
62.8667,86.4258,11.983,10.2684,10.9353,11.1245,0.305,0.7499,0.272,0,3,Talking
109.5492,83.7925,14.7007,24.0576,3.0747,-25.0946,0.047,0.5836,0.3506,0,1,Distracted
100.7296,98.7947,7.8722,7.3983,-1.2075,25.8091,0.1254,0.6516,0.3645,0,3,Talking
113.7771,104.101,9.6134,5,31.1905,-1.7114,0.0107,0.2639,0.3006,0,2,Looking Down
92.1921,96.0802,36.0194,17.5394,32.8818,4.3306,0.01,0.3316,0.2818,0,2,Looking Down
77.1416,85.4719,12.2344,8.2873,6.0228,-5.7764,0.0438,0.6988,0.3563,0,0,Attentive
86.8499,86.7466,23.4683,18.2194,18,3.8243,0,0.4112,0.3395,0,2,Looking Down
104.6522,84.6708,29.2527,30.1569,20.0388,10.861,0.0357,0.4335,0.3101,0,2,Looking Down
